Core#  istart#  iend#  jstart#  jend#
   258   1120   1212   1691   1783
   259   1120   1212   1784   1876
   260   1213   1305      1     94
   261   1213   1305     95    188
   262   1213   1305    189    282
   263   1213   1305    283    376
   264   1213   1305    377    470
   265   1213   1305    471    564
   266   1213   1305    565    658
   267   1213   1305    659    752
   268   1213   1305    753    846
   269   1213   1305    847    940
   270   1213   1305    941   1034
   271   1213   1305   1035   1128
   272   1213   1305   1129   1222
   273   1213   1305   1223   1316
   274   1213   1305   1317   1410
   275   1213   1305   1411   1504
   276   1213   1305   1505   1597
   277   1213   1305   1598   1690
   278   1213   1305   1691   1783
   279   1213   1305   1784   1876
   280   1306   1398      1     94
   281   1306   1398     95    188
   282   1306   1398    189    282
   283   1306   1398    283    376
   284   1306   1398    377    470
   285   1306   1398    471    564
   286   1306   1398    565    658
   287   1306   1398    659    752
   288   1306   1398    753    846
   289   1306   1398    847    940
   290   1306   1398    941   1034
   291   1306   1398   1035   1128
   292   1306   1398   1129   1222
   293   1306   1398   1223   1316
   294   1306   1398   1317   1410
   295   1306   1398   1411   1504
   296   1306   1398   1505   1597
   297   1306   1398   1598   1690
   298   1306   1398   1691   1783
   299   1306   1398   1784   1876
   300   1399   1491      1     94
   301   1399   1491     95    188
   302   1399   1491    189    282
   303   1399   1491    283    376
   304   1399   1491    377    470
   305   1399   1491    471    564
   306   1399   1491    565    658
   307   1399   1491    659    752
   308   1399   1491    753    846
   309   1399   1491    847    940
   310   1399   1491    941   1034
   311   1399   1491   1035   1128
   312   1399   1491   1129   1222
   313   1399   1491   1223   1316
   314   1399   1491   1317   1410
   315   1399   1491   1411   1504
   316   1399   1491   1505   1597
   317   1399   1491   1598   1690
   318   1399   1491   1691   1783
   319   1399   1491   1784   1876
